"nid","post","field_theme_tid","theme_name"
2393499,"NDRRMC Update Sitrep No. 14 re Preparedness Measures and Effects of Tropical Storm ""Urduja"" (Kai-Tak) as of 8:00 AM, 24 December 2017 (excerpt)

**II. EFFECTS**

**A. Affected Population (TAB A)**

1. A total of 425,996 families / 1,780,163 persons are affected in 2,471 barangays in Regions MIMAPOPA, V, VI, VII, VIII, and CARAGA.

2. Of which, a total of 810 families / 3,473 persons are currently being served inside and outside evacuation centers (ECs):  
- Inside 28 ECs: 668 families / 2,763 persons  
- Outside ECs: 142 families / 710 persons     
Source: DSWD DROMIC Report #19,10PM 23 December 2017

(excerpt)",4587,"Agriculture"
2393489,"NDRRMC Update SitRep No.09 re Preparedness Measures and Effects of Typhoon ""Vinta"" as of 8:00 AM (26 December 2017) (excerpt)

**II EFFECTS**

**A. Affected Populations (TAB A)**

1. A total of 118,596 families/550,409 persons are affected in 1,034 barangays in regions MIMAROPA, VII, IX, X, XI, XII, ARMM and CARAGA due to TY ""VINTA""

2. Of which, a total of 19,485 families/90,987 persons are currently being served inside 246 evacuation centers (ECs) and 12,189 families/61,172 persons outside the evacuation center.

**B. Casualties**

1. A total of 164 persons were reported dead (65 in Region IX, 75 in Region X, and 24 in ARMM), and 176 persons missing (170 for validation and 6 confirmed).

2. Ongoing validation and verification by NDRRMC MDM Cluster.

(excerpt)",4587,"Agriculture"
2393114,"Malawi Nutrition Situation Update Issue #17 - December 2017 **Highlights**

In the month of November 2017 reporting was at 100 percent. All the 618 Outpatient Therapeutic Program (OTP) centres, 104 Nutrition Rehabilitation Units (NRU) and 611 Supplementary Feeding Program (SFP) centres in Community-based Management of Acute Malnutrition (CMAM) reported as follows:

* 3,130 children aged 6 to 59 months suffering from Severe Acute Malnutrition (SAM) were provided with lifesaving treatment in OTP centres and NRUs.

* 7,269 children aged 6 to 59 months with Moderate Acute Malnutrition (MAM) were provided with treatment in the SFP centres.

* 4,158 Pregnant and Lactating Women (PLW) with MAM were provided with supplementary food at the SFP centres.

* 23% decrease in SAM admissions in November 2017 compared with November 2016.

* 4% increase in MAM admissions in November 2017 compared with November 2016.

* The SAM death rate in the month of November is 1.9% which is lower than October 2017, but remains within SPHERE standards.",4587,"Agriculture"
2392979,"Ethiopia Humanitarian Bulletin Issue 43 | 11 - 24 Dec 2017 **HIGHLIGHTS**

• OCHA Director of Operations, Mr. John Ging, visited Ethiopia to review the status of the Government-led international humanitarian response to drought and conflictaffected communities, including internally displaced people. 

• Humanitarian operators receive emergency logistics induction training to equip national emergency management authorities, staff from different agencies and humanitarian actors, with emergency logistics skills to ensure timely and efficient humanitarian response.

• Regional reports of the November-December national humanitarian needs assessment are currently being compiled. The humanitarian requirements for Ethiopia in 2018 will be determined once the compilation of all the regional reports is completed.

• Ethiopia continues to receive undocumented Ethiopian migrants repatriated from the Kingdom of Saudi Arabia 

**OCHA Director of Operations visited Ethiopia**

On 12-14 December 2017, Mr. John Ging, OCHA Director of Operations, visited Ethiopia to first-hand review the status of the Government-led international humanitarian response to drought and conflict-affected communities, including internally displaced people. The director met and discussed with the federal and regional Government of Ethiopia, donors, humanitarian agencies and communities affected by drought and conflict. Mr.Ging acknowledged the strong partnership the Government of Ethiopia has established over the years with the Humanitarian Country Team. He said that his visit is “a reflection of the importance of that partnership.”

The director visited Hamaressa IDP camp with over 4,000 people internally displaced by the Oromo-Somali inter-communal disputes. Following a briefing by the East Hararge zone administration about the scale of the crisis, Mr.Ging reassured authorities that he is committed to advocating for appropriate response to the crisis. The zonal authorities requested for urgent food and non-food assistance to IDPs East Hararge zone.  

Meanwhile subsequent intercommunal clashes were reported in West Hararge zone of Oromia region on the 12, 15 and 16 December resulting in more than 60 deaths. OCHA will continue to work with Government to verify access conditions and impact on humanitarian operations. Conflict has left close to 857,000 people displaced throughout the country.  

**Visit to Somali region**

During the meeting with the Somali Regional Government authorities, the region requested Mr.Ging’s advocacy support to scale up the ongoing response, particularly amidst the growing IDP needs and called for development investment in durable solutions for predictable pastoralist needs. The region also asked for the speedy implementation of cashbased assistance in all targeted woredas/districts. Mr. Ging and the Somali regional authorities discussed the need to improve accountability mechanisms, including quality needs assessment and information management.",4587,"Agriculture"
2392929,"Turkey Food Security and Agriculture Sector - Quarter 3 - 2017 For almost all refugee households in Turkey, the primary source of food remains market purchase. Food insecurity among refugees therefore results, principally, from an inability to access sufficient food, or the right foods, due to their lack of purchasing power.  

This considered, FSA actors in Turkey have sought to address food insecurity among refugees through e-voucher and other restricted cash programming. In this context, in the past quarter alone, monthly dedicated food assistance was extended to up to 152,000 refugees living in both Temporary Accommodation Centres (TACs) and host communities.  

During the reporting period, partners also focused on promoting agricultural livelihoods and by the end of September over 780 refugees and vulnerable members of host communities received trainings in modern agriculture technologies. Alongside the training, in 2018-19, some of the FSA sector partners are also assessing the needs and planning for providing agriculture inputs support; farm-to-market, value chain, and agribusiness support, and environmental protection and preservation measures to create new work and entrepreneurship opportunities in areas hosting large refugee populations.  

In the coming quarter, the FSA sector will conduct a survey to identify capacity building needs among sector partners, factoring results into the 2018 sector work plan. Plans are also in place to provide partners with technical assistance to strengthen homestead, micro-, and kitchen-garden projects.",4587,"Agriculture"
2392849,"New Agreement Signed to Support Climate Resilient Agriculture – over 500,000 Farmers to Benefit in Tamil Nadu NEW DELHI, December 26, 2017: The Government of India, the Government of Tamil Nadu and the World Bank today signed a $318 million loan agreement for the Tamil Nadu Irrigated Agriculture Modernization Project to promote climate resilient agriculture technologies, improve water management practices, and increase market opportunities for small and marginal farmers. About 500,000 farmers, of which a majority are small and marginal, are expected to benefit from improved and modernized tank irrigation systems.

The project will rehabilitate and modernize about 4,800 irrigation tanks and 477 check dams, spread across 66 sub-basins, in delivering bulk water to irrigation systems.

The agreement for the project was signed by Sameer Kumar Khare, Joint Secretary, Department of Economic Affairs, Ministry of Finance, on behalf of the Government of India; S K Prabhakar, Principal Secretary, Public Works Department, on behalf of the Government of Tamil Nadu and John Blomquist, Program Leader and Acting Country Director, World Bank, India on behalf of the World Bank.  

“This project will help Tamil Nadu scale up its efforts to unlock the full potential of its agriculture sector. It will support farmers improve the efficiency of water used in farming, diversify into high value crops, and produce crops that are resilient to the increasing threats of climate change. Such efforts will be a win-win for all, leading to better use of scarce water resources and raising household incomes of farmers,” said John Blomquist, Program Leader and Acting Country Director, World Bank, India.

Despite significant progress made during the past decade in crop diversification, its level in the state continues to remain low. Paddy is the dominant crop occupying 34 percent of total cropped areas, whereas fruits and vegetables are grown on 11 percent and pulses and oilseeds on 14 percent of total cropped areas. By helping farmers access modern technologies, linking them to markets, and providing postharvest management support, the project will enable farmers to shift from a mono crop paddy system to mixed cropping including high-value crops (fruits, vegetables, and spices), pulses, oilseeds, and millets.  

To enhance the ability of crops to withstand expected adverse impacts of climate change, the project will support smallholder producers adopt new conservation technologies such as the System of Rice Intensification (SRI) and Sustainable Sugar Initiative (SSI). They reduce average water usage by 35 percent and increase yields by 22 percent per ha. The project is expected to increase the yield of rice, maize, and pulses by 18–20 percent. 

“The earlier World Bank-supported project on modernizing irrigated agriculture (TN IAMWARMP), had made significant impacts by modernizing irrigation infrastructure and improving the efficiency of water used for agriculture. This project will bring the policy and institutional developments achieved under the earlier project to a new level, improve farmers’ links to markets, and rehabilitate and modernize high-priority tank irrigation systems in more than 50 percent of the sub-basins of the state, which were not part of the TN IAMWARMP,” said Bayarsaikhan Tumurdavaa, Senior Agriculture Economist, and World Bank’s Task Team Leader for the project.

The project will also coordinate with other World Bank-supported projects in Tamil Nadu and at the national level, including the Tamil Nadu Rural Transformation Project, National Hydrology Project, and National Groundwater Improvement Project to ensure synergy and enhance long-term project impact.

The $318 million loan from the International Bank for Reconstruction and Development (IBRD), has a 5-year grace period, and a maturity of 19 years.",4587,"Agriculture"
2392219,"Ukraine: Humanitarian Snapshot (as of 21 December 2017) **OVERVIEW**


The human toll of the ongoing armed conflict in eastern Ukraine continues to be critical, with 4.4 million people affected by the crisis, of whom 3.4 million require humanitarian assistance and protection in 2018. Despite many ceasefire attempts throughout 2017, civilian casualties continue to be reported, while critical civilian infrastructure regularly comes under fire. A total of 117 incidents affecting critical water and sanitation facilities were observed throughout 2017, while 56 educational facilities were damaged, destroyed or temporarily closed due to insecurity from January to November 2017. The Shelter/NFI cluster reported more than 700 houses were newly damaged from March to August 2017, while up to 130 health facilities still require rehabilitation. OHCHR recorded 552 conflict-related civilian casualties (98 killed and 454 injured) from January to November 2017, representing a three per cent increase compared to the same period in 2016. 
 
Critical humanitarian and protection needs deepen as winter sets in. During winter, the daily kilo calorie (kcal) requirement increases as the temperature drops. Meanwhile, the prices of food traditionally reach their highest levels in winter in both GCA and NGCA, whilst the cost of utilities (including for heating from November-April) peak. There is a clear trend of significantly higher unmet food needs during winter with as many as 23% of HHs in both GCA and NGCA reporting that they did not have food to meet their basic food requirements in the height of winter. With lack of income, limited access to heating energy sources, insufficient self-production and the consequent lack of food supplies, children and the elderly are at high risk of falling deeper into food insecurity Similarly, frequent shelling against water facilities and electricity lines increases risk of centralised town heating systems stopping, while the temperatures could decrease as low as -20 degrees Celsius in the coming weeks. Window of silence is urgently needed to repair the damaged section of the South Donbas Water Pipeline located right along the ‘contact line’ south of Avdiivka on which some 200,000 people are dependent and remain at substantial risk of having their heating cut off.  

Despite urgent needs during winter months, the 2017 Humanitarian Response Plan (HRP) remains severely underfunded at 33 per cent ($69 million of the $204 million requirements funded). Shelter/NFI and WASH clusters are the most underfunded at around 10 per cent. Additional support is urgently needed to enable the timely delivery of critical assistance for millions in need of humanitarian aid to survive harsh winter months.",4587,"Agriculture"
2391959,"NDRRMC Update Sitrep No. 10 re Preparedness Measures and Effects of Tropical Storm ""Urduja"" (Kai-Tak) as of 7:00 AM, 21 December 2017 *excerpt*

**II. EFFECTS**

**A. Pre-Emptive Evaluation (TAB A)**

1. A total of 4,327 families were pre-emptively evacuated in Samar, Northern Samar, and Eastern Samar (Region VII).

**B. Affected Population (TAB B)**

1. A total of 317,215 families / 1,244,583 persons are affected in 1,797 barangays in Regions MIMAPOPA, V, VI, VII, VIII, and CARAGA.

2. Of which, a total of 23,436 / 101,686 persons are currently being served inside and outside evacuation centers (ECs):  
Inside 225 ECs: 11,447 families / 52,142 persons  
Outside ECs: 11,989 families / 49,544 persons
Source: DSWD DROMIC Report 14, 2AM 20 December 2017",4587,"Agriculture"
2391884,"NDRRMC Update SitRep No.08 re Preparedness Measures and Effects of Typhoon ""Vinta"" as of 8:00 PM (25 December 2017) (excerpt)

**II EFFECTS**

**A. Affected Populations (TAB A)**

- 1. A total of 117,528 families/550,805 persons are affected in 1,019 barangays in regions MIMAROPA, VII, IX, X, XI, XII, ARMM and CARAGA due to TY ""VINTA""  
- 2. Of which, a total of 19,203 families/89,524 persons are currently being served inside 231 evacuation centers (ECs) and 12,512 families/62,834 persons outside the evacuation center.  

**B. Casualties**

1. A total of 164 persons were reported dead (65 in Region IX, 75 in Region X, and 24 in ARMM), and 176 persons missing (170 for validation and 6 confiremed).  
Ongoing validation and verification by NDRRMC MDM Cluster.  

(excerpt)",4587,"Agriculture"
2391714,"NDRRMC Update SitRep No.05 re Preparedness Measures and Effects of Typhoon ""Vinta"" as of 8:00 AM (24 December 2017) **23 December 2017**

*(Excerpt)*

At 1:00 PM, the center of TS ""VINTA"" was estimated based on all available data at 245 km South Southeast of Puerto Princesa City, Palawan or 245 km West of Balabac, Palawan. 

At 5:00 PM, ""VINTA"" has intensified Into a Severe Tropical Storm and is threatening Southern Palawan. It is expected to make landfall in Southern Palawan at night time. Its maximum sustained winds is up to 90 kph with gustiness of up to 115 kph. It is forecasted to move West at 22 kph. TCWS No. 2 is still hoisted over Southern Palawan. 

At 10:00 PM, STS ""VINTA""made landfall in Balabac, Palawan. It may intensify into a Typhoon before exiting the PAR between tomorrow morning and afternoon. 

**24 December 2017**

At 5:00 AM, ""VINTA""has intensified into a Typhoon as it approaches the western boundary of PAR. It has maximum sustained winds of 120 kph near the center and gustiness of up to 145 kph. It is now forecasted to move West at 25 kph. 

At 8:00 AM, TY ""VINTA""has maintained its strength and is about to exit PAR. The eye of TY ""VINTA"" was located based on all available data at 300 km South Southeast of Pagasa Island, Palawan. 

**II. EFFECTS**

**A. Affected Population (TAB A)**

1. A total of 59 580 families / 268,792 persons are affected in regions MIMAROPA, VII, IX, X, XI, XII, ARMM and CARAGA due to STS ""VINTA"". 

2. Of which, a total of 13,491 families / 57,768 persons are currently being served inside 198 evacuation centers (ECs) and 3,832  families / 19,187 persons outside the evacuation center.

Source: DSWD DROMIC Report #7 on TS VINTA, 24 December 2017 Note: The decrease in figure was due to ongoing validation or DSWD. 

**B. Casualties**

1. 123 persons were reported dead (33 in Region IX, 69 in Region X, and 21 in ARMM), and 160 persons missing (159 for validation and 1 confirmed). 

(Ongoing validation and verification by NDRRMC MDM Cluster)",4587,"Agriculture"
