"nid","post","field_language_tid","language_name"
2393529,"DSWD DROMIC Report #20 on Tropical Depression “Urduja” (Kai-Tak) as of 26 December 2017, 11PM **Situation Overview**

On 12 December 2017, the monitored Low Pressure Area east of Hinatuan, Surigao del Sur has developed into a Tropical Depression and was named “Urduja” (international name: Kai-tak). It exited Philippine Area of Responsibility (PAR) on 19 December 2017.

_Source: NDRRMC_

**Status of Affected Families / Persons**

425,996 families or 1,780,163 persons are affected in 2,471 barangays in Regions V, VI, VII, VIII, MIMAROPA and CARAGA (see Table 1; details in Annex A).

**Status of IDPs Inside Evacuation Centers**

A total of 668 families or 2,763 persons are currently staying inside 28 evacuation centers in Regions V, VIII, and MIMAROPA (see Table 2; details in Annex B).

**Status of IDPs Outside Evacuation Centers**

A total of 142 families or 710 persons are currently staying with families / friends in Regions VII and VIII (see Table 3).


**Status of Damaged Houses**

At present, 3,062 houses were totally damaged and 16,585 were partially damaged by the onslaught of TS Urduja in Regions V, VIII and CARAGA (see Table 5).

**Cost of Assistance**

₱103,346,951.99 worth of assistance has been provided to affected families and individuals; of which, ₱85,659,906.00 came from DSWD, ₱17,661,614.99 from LGUs, and ₱25,431.00 from NGOs (Table 6).",267,"English"
2393514,"Mortality and Morbidity Weekly Bulletin (MMWB) Cox’s Bazar, Bangladesh: Volume No. 9: - 24 December 2017 **Overview** 

Over the 8 week period, from October 16 to December 10, the 5 most frequently reported diseases/syndromes were: unexplained fever (98 523 cases, 15.9%), acute respiratory infection (68 769 cases, 11.1%, with higher incidence rate among children less than 5 years old), acute watery diarrhoea (65 092 cases, 10.5%), and skin diseases (28 693 cases, 4.6%, with similar numbers of reported cases among both children aged under 5 and individuals aged 5 years and older).

Severe malnutrition was reported among 1518 patients, of which 88% were children aged under 5 years. 1860 patients presented with suspected measles or rubella, of which over 20% were among individuals aged five years and older. 

The frequency of respiratory infection, skin diseases and diarrhoea reflected in these reports is associated with poor living conditions with lack of essential hygiene and a high population density. The high number of patients presenting with injury, 6897, also needs to be investigated, as this may reflect poor living conditions that contribute to preventable morbidity.

“Other” conditions accounted for 318 661 cases (51.3% of all reported conditions), with 83% among people aged 5 years or older. Further investigation of this group will be conducted as a priority to assess the main causes of disease constituting this large category, in particular the incidence of non-communicable and/or chronic diseases that can lead to death if not treated (such as tuberculosis, diabetes and cardiac dysfunction), and psychiatric and psychological conditions that require specialized care.",267,"English"
2393504,"Diphtheria outbreak, Cox’s Bazar, Bangladesh - Daily epidemiological bulletin, 2017-12-26 _Epidemiological overview as of 25 Dec 2017_

_Time_

Between 8 Nov 2017 and 25 Dec 2017, 2440 suspected case-patients with diphtheria were reported in the settlements of forcibly displaced Myanmar nationals, Cox’s Bazar (Figure 1), 80 of which were reported on 25 Dec 2017 (Figure 2). Date of onset information is missing for 111 (4.5%) case-patients.

_Place_

Estimated attack rates (expressed as number of cases per 10,000 population) are shown in Figure 3. These estimates are based on population figures from 07 December 2017. N.B. due to difficulties in locating reported residence, only 1509 out of 2440 (61.8%) total casepatients have been included in the attack rate calculations, which therefore likely under-estimate the true attack rates. Efforts are ongoing to map these case-patients.

_Person_

**Age**

The age distribution of suspect case-patients shows that, approximately: one-quarter are among the 0-5 year age group, one-third are in the 5-10 year age group, and one-fifth are aged between 10-15 years (Figure 4). Importantly, 25.3% of the suspected case-patients are aged 15 years and older.

**Sex**

1090 (44.7%) of the case-patients are male, while 1337 (54.8%) of the case-patients are female (Figure 5). Information on sex was missing for 12 (0.5%) of case-patients. 

**Signs and symptoms prevalence**

There are 247 (10.1%) suspected case-patients without information on signs and symptoms. Of those suspected case-patients with this information, the prevalence of signs and symptoms is shown in Figure 6 (N.B. patients with no information are excluded from this analysis): 

**Outcomes**

There are 26 deaths recorded in the linelist thus far.

**Delay distributions**

The median [IQR] delay from symptom onset to presentation at health facilities was 2 [2 - 3] days. Among those who have died, the median [IQR] delay from symptom onset to death was 7 [4.25 - 10] days.

**Contacts**

Contact tracing and follow-up for chemo-prophylaxis is an important component of the outbreak response strategy. Close contacts are defined as “those sleeping in the same shelter or who have been directly exposed to nasopharyngeal secretions of the patient on a prolonged or regular basis (example, school classmates other patients in wards and medical staff)”.

There is no information on number of close contacts for 518 (21.2%) suspected case-patients. 

Among those case-patients for whom information is available on number of close contacts, the median [IQR] number of contacts is 5 [3 - 7], while the total range is 0-21 (Figure 7).",267,"English"
2393499,"NDRRMC Update Sitrep No. 14 re Preparedness Measures and Effects of Tropical Storm ""Urduja"" (Kai-Tak) as of 8:00 AM, 24 December 2017 (excerpt)

**II. EFFECTS**

**A. Affected Population (TAB A)**

1. A total of 425,996 families / 1,780,163 persons are affected in 2,471 barangays in Regions MIMAPOPA, V, VI, VII, VIII, and CARAGA.

2. Of which, a total of 810 families / 3,473 persons are currently being served inside and outside evacuation centers (ECs):  
- Inside 28 ECs: 668 families / 2,763 persons  
- Outside ECs: 142 families / 710 persons     
Source: DSWD DROMIC Report #19,10PM 23 December 2017

(excerpt)",267,"English"
2393489,"NDRRMC Update SitRep No.09 re Preparedness Measures and Effects of Typhoon ""Vinta"" as of 8:00 AM (26 December 2017) (excerpt)

**II EFFECTS**

**A. Affected Populations (TAB A)**

1. A total of 118,596 families/550,409 persons are affected in 1,034 barangays in regions MIMAROPA, VII, IX, X, XI, XII, ARMM and CARAGA due to TY ""VINTA""

2. Of which, a total of 19,485 families/90,987 persons are currently being served inside 246 evacuation centers (ECs) and 12,189 families/61,172 persons outside the evacuation center.

**B. Casualties**

1. A total of 164 persons were reported dead (65 in Region IX, 75 in Region X, and 24 in ARMM), and 176 persons missing (170 for validation and 6 confirmed).

2. Ongoing validation and verification by NDRRMC MDM Cluster.

(excerpt)",267,"English"
2393449,"UNICEF official calls 2017 ‘horrible’ for children in Yemen 26 December 2017 – Children in Yemen could not have a worse year than 2017, according to a senior official from the UN Children’s Fund (UNICEF).

“2017 was a horrible year for the children of Yemen,” UNICEF Representative in the country, Meritxell Relaño, told UN News by telephone from the capital, Sana’a.

More than 80 children were killed or injured in December alone, while millions face a cholera epidemic, looming famine, a disruption in health services and a blockade hampering delivery of much-needed supplies.

She urged a political solution for what she said was a man-made conflict and warned that without a political solution many more children would die.

Ms. Relaño recounted meeting a woman and her dying 7-year-old son Ali in a hospital in Aden.

“He was like skin on bones. I asked why they had not come sooner and the mother told me that she could not afford to ride the bus to the hospital. The levels of poverty in the families [have] now reached levels that are unsustainable,” she said.

To offset some of this type of need, Ms. Relaño noted that some 1.3 million families, or about 8 million people, are being reached with emergency cash as part of a transfer project between UNICEF and the World Bank.

She also praised successful efforts to deliver vaccines and implement a polio immunization campaign this year to benefit some 5 million children and provide treatment for 200,000 children with acute malnutrition.

“Yemenis who work on the ground to support the Yemenis are the true heroes,” she said, noting the efforts of local authorities, doctors, nurses and teachers in the country. 

**AUDIO**: [UNICEF official shares memories of ""a horrible year"" for children in Yemen](http://www.un.org/apps/news/story.asp?NewsID=58352#.WkLPXzeffQw)",267,"English"
2393444,"DOH augments medical supplies, health teams for Vinta victims MANILA, Dec. 26 -- Health Secretary Francisco T. Duque III today immediately ordered the augmentation of medicines and other medical supplies in regions hit by tropical storm “Vinta” in Mindanao to respond to the immediate health needs of thousands of affected families and communities. 

""The DOH expresses its sympathy to our countrymen on this tragic event especially with the loss of lives and with many still reported missing along with their homes which were destroyed by flash floods and landslides. This is very sad especially at this time when families should be celebrating Christmas and preparing for the festivities of the New Year,"" Duque lamented. The health chief also appealed to the public any assistance they can provide to those affected by the disaster.

Secretary Duque also reported that flash floods and landslide incidents occurred in Zamboanga del Norte, while the municipality of Carmen, Daval del Norte has now been declared under state of calamity. 

A total of 70,454 families or 320,180 individuals are affected in 569 barangays in MIMAROPA, Central Visayas, Zamboanga Peninsula, Central Mindanao, Davao region, ARMM and CARAGA. 

At the moment, the Department of Health is still on alert and concerned regional offices are instructed to deploy emergency response teams to provide the needed health services to the affected population, and ordered continuous coordination with their respective Regional Disaster Risk Reduction and Management Councils. 

Also, the DOH Davao regional office has emergency medical teams to Talomo North District, Marilog District, Bunangin District and District A to provide health consultations and treatments. DOH Central Visayas provided technical services on water sanitation, hygiene and nutrition services. 

The DOH Central Mindanao augmented assorted medicines to rural health units of Pantao Ragat and Balo-1 for internally-displaced people inside and outside of evacuation centers, started leptospirosis prophylaxis to exposed individuals, augmented doxycycline in Northern Mindanao Medical Center and provided health teachings on the proper use of water treatment solutions. 

""I appeal to every Filipino to extend any assistance to families affected and displaced by tropical depression Vinta. Let us extend our kindness and compassion to those who have been severely hit by this tragedy,"" Secretary Duque concluded. (DOH)",267,"English"
2393439,"Venezuela Situation Update, November 2017 The total number of Venezuelans in Colombia has more than doubled in less than four months, reaching 660,000 individuals, end-November, up from 300,000 in June.

Between January and October 2017 over 100.000 Venezuelan nationals have entered Peru through the northern entry point in Tumbes, according to authorities.

In Brazil 15,645 Venezuelans have lodged asylum claims in 2017, 1,680 Temporary Residence Permits have been granted and a total of 30,000 are estimated to live in the country.

**POPULATION OF CONCERN** 

- In November the movements from Venezuela to Colombia continued to grow, according to government figures that show net arrivals from Venezuelans reached 4,000 people per day (up from 3,500 in October), and 2,500 Colombian returnees per day. Colombian authorities also reported that some 200,000 have crossed into Ecuador. 

- Over 1 million Venezuelans have now registered for the Border Mobility Card (TMF) in Colombia. 

- In Peru 19,000 Venezuelans have applied for the Temporary Permanence Permit (PTP), Peruvian authorities estimate. Since August 4,000 PTPs have been issued out of that total. 

- At least 60,000 Venezuelans are estimated to be residing in the Southern Caribbean. 

- In Brazil some 15,000 of all Venezuelan asylum-claims have been lodged in Roraima border state since 2014, 2,500 in Amazonas state and some 590 in Sao Paulo.

**CONTEXT INFORMATION**

Over one million Venezuelans have left their country, according to host Government figures. Over 106,000 have sought asylum since 2014, more than half in 2017. Some 190,000 have also applied for alternative legal status across the region. They claim they are leaving for a variety of reasons, including threats by armed groups; fear of being targeted on account of their political opinion, real or perceived; insecurity and violence; lack of food, medicine and access to essential social services, as well as loss of income.

UNHCR has also identified hundreds of indigenous people crossing the borders, primarily into Colombia and Brazil. These groups sometimes travel long distances by land and have shown to be highly vulnerable as they do not have the financial resources to buy food or shelter. Additional support has been provided to them.

While the dialogue between the Government and the opposition coalition has restarted in the Dominican Republic, people continue to steadily leave the country. The socio-economic situation increasingly deteriorates and inflation has made it extremely difficult to access food, medicine, basic products and services. Reports from international organizations state that there is a considerable number of people with chronic malnutrition in the country, as well as a shortage of medicine. As a result of the strained resources, insecurity has also been increasing and having a rising impact on peoples’ lives.

**Operational Context**

**Brazil**

- The Government of Roraima has declared a state of social emergency due to the “intense, unlimited and disorderly flow of Venezuelans without means or conditions to sustain themselves” that arrive from Venezuela. Local authorities have expressed concerns about their capacity to provide an adequate security and health response, as well as to implement the recent government resolution that establishes standard operation procedures for the protection of unaccompanied and separated children, based on the recommendations by UNHCR.

- Among the reasons given by the Warao for leaving Venezuela, is that the government’s support to indigenous communities in the country has ceased. They claim that there are no available schools, health centres or services. Water distribution, usually their only source of potable water, has allegedly also stopped. The Warao also stated that they suffered discrimination in the access to ID- documents, which could help explain the considerable amount of Warao without identification arriving in Brazil.

- The Warao continue to move inward, confirming their intent to stay. Over 200 Warao are living in Pará state. The majority is living on the streets, while some 70 people are staying in a rural school set up as a temporary shelter by the Municipality. Following UNHCR’s counsel, Amazonas and Pará authorities created a formal communication channel to exchange experiences and lessons learned.

**Colombia**

- Armed groups activities at the Colombian-Venezuela border, incursions by the Venezuelan military into Colombia, confrontations between governments and the lack of capacity to control the actions of armed actors on both sides of the border are increasing risks for persons of concern in these areas. UNHCR continues to monitor the reports of violence at the border.

- In October, a pamphlet was distributed in Arauca by the “Araucan Social Cleansing Group”, accusing Venezuelan men of selling drugs to children and committing crimes and Venezuelan women of being prostitutes, and called for them to go back to Venezuela or face assassination.

- Colombian authorities are concerned about the spread of diseases including malaria, measles, diphtheria and tuberculosis in reception areas. They state that due to a lack of health access in Venezuela, arrivals are boosting transmission rates. More than 19,000 Venezuelans have received emergency treatment in Colombia, increasing pressure on local services. The Government is working with the Red Cross and WHO/PAHO to increase services, and UNHCR is advocating to ensure a protection-sensitive approach.

- The Special Stay Permit (PEP) application deadline expired on 31 October. Over 67,000 Venezuelans applied for the permit, which allows them to regularize their status, work and access basic services for up to two years in Colombia. UNHCR is advocating for this measure to be extended to ensure that legal pathways remain open, as is the case in other countries in the region.",267,"English"
2393419,"DSWD DROMIC Report #13 on Severe Tropical Storm ""VINTA"" (TEMBIN) as of 27 December 2017, 2AM **Situation Overview**

On 22 December 2017, the monitored Low Pressure Area east of Hinatuan, Surigao del Sur has developed into a Severe Tropical Storm and was named “Vinta” (international name: Tembin). It exited Philippine Area of Responsibility (PAR) on 24 December 2017.

**Status of Affected Families / Persons** 

143,188 families or 673,429 persons are affected in 1,140 barangays in Regions MIMAROPA, VII, IX, X, XI, XII, ARMM and CARAGA (see Table 1; details in Annex A). 

**Status of IDPs Inside Evacuation Centers**

A total of 23,775 families or 111,641 persons are currently staying inside 231 evacuation centers in Regions MIMAROPA, IX, X, XI, XII, CARAGA and ARMM (see Table 2; details in Annex B).

**Status of IDPs Outside Evacuation Centers**

A total of 5,938 families or 29,592 persons are currently staying with families / friends in Regions IX, X, XI, and XII(see Table 3).",267,"English"
2393409,"61 IRCS teams Effort to help Kouhbanan earthquake affected peoples/ setting up more than 1700 tents Iran/ Tehran/ IRCS _ December 24th _ Iranian Red Crescent Society (IRCS) has set up 1,710 relief tent for emergency sheltering of 8,550 earthquake affected peoples in Kouhbanan district in Kerman province.

Head of the IRCS’s Relief and Rescue Organization Moreteza Salimi said, ""from 21st December till 6 o’clock (local time) of 23 December, relief operations have been doing in Kouhbanan city and 18 villages around it.""

Sixty-one relief and rescue teams of IRCS (include 305 relief workers) are rendering essential services to earthquake affected people in district, he added.

On Thursday, 21 December 2017, at 20:34 local time, a magnitude 5.2 earthquake struck Kuhbanan district in Kerman province which left 42 injured.",267,"English"
